transaction_id,customer_id,amount,payment_method,product_category,customer_age,discount_rate,store_region
tx_ref_200060,usr_7187,2099.32,UPI,Home & Kitchen,30.1,0.09,South
tx_ref_200061,usr_2281,2327.62,Debit Card,Digital Goods,29.2,0.15,West
tx_ref_200062,usr_5330,777.03,UPI,Apparel,30.8,0.17,East
tx_ref_200063,usr_2009,766.84,Debit Card,Electronics,31.8,0.15,East
tx_ref_200064,usr_2230,386.75,UPI,Digital Goods,27.2,0.26,West
tx_ref_200065,usr_3502,2504.7,Credit Card,Electronics,34.6,0.08,South
tx_ref_200066,usr_4843,2621.8,UPI,Apparel,24.2,0.12,South
tx_ref_200067,usr_7515,2611.71,Credit Card,Electronics,29.9,0.18,West
tx_ref_200068,usr_8112,9945.45,UPI,Digital Goods,41.0,0.1,East
tx_ref_200069,usr_5617,1084.38,Credit Card,Home & Kitchen,59.7,0.29,South
tx_ref_200070,usr_7906,4159.75,UPI,Electronics,39.6,0.09,South
tx_ref_200071,usr_6483,442.82,UPI,Apparel,37.0,0.01,North
tx_ref_200072,usr_7222,269.58,Credit Card,Apparel,48.5,0.13,North
tx_ref_200073,usr_1016,2644.4,UPI,Electronics,42.7,0.09,North
tx_ref_200074,usr_7591,1375.83,Debit Card,Home & Kitchen,31.4,0.01,South
tx_ref_200075,usr_5735,414.16,Debit Card,Apparel,43.9,0.02,East
tx_ref_200076,usr_3993,475.71,UPI,Electronics,51.2,0.0,East
tx_ref_200077,usr_6946,8059.16,Cash,Electronics,34.3,0.02,West
tx_ref_200078,usr_5639,3166.05,Debit Card,Electronics,39.9,0.15,West
tx_ref_200079,usr_1302,109.0,UPI,Home & Kitchen,,0.3,North
tx_ref_200080,usr_4124,89.22,UPI,Apparel,45.5,0.14,East
tx_ref_200081,usr_7860,1416.06,Debit Card,Electronics,45.5,0.23,West
tx_ref_200082,usr_2038,6006.61,UPI,Home & Kitchen,33.1,0.25,East
tx_ref_200083,usr_4564,291.15,Credit Card,Electronics,50.3,0.3,West
tx_ref_200084,usr_4120,668.19,UPI,Home & Kitchen,22.6,0.15,North
tx_ref_200085,usr_2286,3253.65,Cash,Electronics,,0.1,North
tx_ref_200086,usr_5868,221.53,Cash,Electronics,37.9,0.09,North
tx_ref_200087,usr_3647,2427.3,UPI,Apparel,29.3,0.1,North
tx_ref_200088,usr_6955,1575.29,Cash,Home & Kitchen,44.8,0.11,North
tx_ref_200089,usr_8604,5658.78,UPI,Apparel,32.6,0.25,South
tx_ref_200090,usr_8103,824.03,Debit Card,Digital Goods,44.0,0.24,East
tx_ref_200091,usr_2305,1084.6,Debit Card,Electronics,27.8,0.03,South
tx_ref_200092,usr_2259,7597.2,Debit Card,Apparel,18.0,0.26,East
tx_ref_200093,usr_1119,579.28,Credit Card,Apparel,41.2,0.25,East
tx_ref_200094,usr_7059,763.36,Cash,Digital Goods,27.4,0.12,East
tx_ref_200095,usr_7110,1991.54,Cash,Home & Kitchen,38.2,0.17,West
tx_ref_200096,usr_6108,1634.11,UPI,Home & Kitchen,45.9,0.15,East
tx_ref_200097,usr_5763,1530.88,Debit Card,Electronics,39.2,0.08,North
tx_ref_200098,usr_3070,1094.38,UPI,Home & Kitchen,40.7,0.16,West
tx_ref_200099,usr_3420,2390.33,UPI,Digital Goods,45.6,0.17,South
tx_ref_200100,usr_6198,962.86,UPI,Digital Goods,34.5,0.03,West
tx_ref_200101,usr_4623,68.33,Debit Card,Digital Goods,45.4,0.25,North
tx_ref_200102,usr_2404,1471.18,Cash,Electronics,35.2,0.23,South
tx_ref_200103,usr_7814,3320.58,UPI,Digital Goods,32.1,0.17,West
tx_ref_200104,usr_6939,2145.88,UPI,Digital Goods,36.4,0.09,East
tx_ref_200105,usr_4007,1950.69,Cash,Home & Kitchen,41.5,0.02,West
tx_ref_200106,usr_8984,5705.42,Cash,Electronics,41.7,0.08,South
tx_ref_200107,usr_6451,2074.24,UPI,Electronics,44.0,0.26,North
tx_ref_200108,usr_5660,699.67,Debit Card,Home & Kitchen,40.4,0.22,West
tx_ref_200109,usr_1772,1219.24,UPI,Electronics,29.9,0.0,South
tx_ref_200110,usr_5278,694.4,UPI,Electronics,31.2,0.17,South
tx_ref_200111,usr_6048,60.41,Debit Card,Electronics,32.5,0.1,North
tx_ref_200112,usr_1294,3645.79,Credit Card,Digital Goods,33.5,0.03,South
tx_ref_200113,usr_3382,160.46,Cash,Apparel,41.3,0.11,North
tx_ref_200114,usr_7732,246.34,UPI,Electronics,41.0,0.22,East
tx_ref_200115,usr_8739,1358.02,Credit Card,Home & Kitchen,37.4,0.02,North
tx_ref_200116,usr_8088,1665.55,Debit Card,Electronics,19.1,0.21,South
tx_ref_200117,usr_8919,237.6,Credit Card,Apparel,51.9,0.21,East
tx_ref_200118,usr_1868,8909.73,Debit Card,Digital Goods,49.3,0.23,West
tx_ref_200119,usr_6263,4474.4,UPI,Apparel,26.9,0.08,North
tx_ref_200120,usr_3198,331.3,Cash,Apparel,31.3,0.18,North
tx_ref_200121,usr_1071,412.57,UPI,Digital Goods,24.8,0.07,South
tx_ref_200122,usr_8311,160.35,UPI,Home & Kitchen,44.4,0.06,East
tx_ref_200123,usr_3160,1016.03,UPI,Apparel,36.7,0.19,East
tx_ref_200124,usr_8985,1827.6,UPI,Digital Goods,21.3,0.29,West
tx_ref_200125,usr_6375,302.47,UPI,Electronics,52.9,0.24,North
tx_ref_200126,usr_1514,1521.9,UPI,Home & Kitchen,35.3,0.22,North
tx_ref_200127,usr_4989,3754.2,Credit Card,Home & Kitchen,24.2,0.06,South
tx_ref_200128,usr_7631,201.25,Debit Card,Home & Kitchen,,0.22,North
tx_ref_200129,usr_5014,1294.0,Credit Card,Digital Goods,36.8,0.19,North
tx_ref_200130,usr_8819,1200.34,Debit Card,Apparel,41.8,0.15,North
tx_ref_200131,usr_8484,2036.92,Debit Card,Apparel,35.4,0.2,North
tx_ref_200132,usr_7009,2591.35,Credit Card,Home & Kitchen,33.2,0.19,East
tx_ref_200133,usr_8354,655.94,Credit Card,Digital Goods,34.9,0.2,South
tx_ref_200134,usr_6370,469.92,UPI,Digital Goods,47.1,0.11,North
tx_ref_200135,usr_5706,7675.79,UPI,Apparel,29.8,0.26,East
tx_ref_200136,usr_6921,580.42,UPI,Home & Kitchen,47.9,0.06,West
tx_ref_200137,usr_7139,11811.38,Credit Card,Electronics,32.1,0.06,South
tx_ref_200138,usr_5850,172.82,Cash,Digital Goods,32.1,0.06,West
tx_ref_200139,usr_3915,162.37,Credit Card,Apparel,31.4,0.09,South
tx_ref_200140,usr_5387,627.79,Debit Card,Electronics,58.6,0.19,South
tx_ref_200141,usr_1074,1094.18,UPI,Apparel,31.8,0.18,South
tx_ref_200142,usr_5883,189.78,UPI,Electronics,22.1,0.24,South
tx_ref_200143,usr_1419,1433.53,UPI,Electronics,56.0,0.25,South
tx_ref_200144,usr_2036,157.0,Debit Card,Electronics,35.1,0.18,East
tx_ref_200145,usr_8556,691.82,Credit Card,Electronics,40.2,0.02,East
tx_ref_200146,usr_3433,2745.25,UPI,Digital Goods,27.8,0.1,North
tx_ref_200147,usr_4846,158.13,Debit Card,Apparel,34.8,0.13,West
tx_ref_200148,usr_4749,86.84,UPI,Electronics,32.1,0.22,West
tx_ref_200149,usr_3265,4667.61,UPI,Home & Kitchen,40.1,0.15,South
tx_ref_200150,usr_3443,169.99,Credit Card,Digital Goods,33.4,0.01,East
tx_ref_200151,usr_5431,802.61,UPI,Apparel,32.8,0.03,South
tx_ref_200152,usr_7769,193.41,Credit Card,Apparel,47.4,0.14,West
tx_ref_200153,usr_3050,4267.19,UPI,Digital Goods,19.6,0.16,West
tx_ref_200154,usr_6186,2060.22,Cash,Digital Goods,32.8,0.21,East
tx_ref_200155,usr_6459,5257.11,Debit Card,Electronics,29.7,0.15,West
tx_ref_200156,usr_5440,3732.07,Credit Card,Apparel,31.1,0.19,North
tx_ref_200157,usr_5432,3837.74,Credit Card,Apparel,49.2,0.12,South
tx_ref_200158,usr_6552,528.72,Debit Card,Electronics,34.1,0.01,North
tx_ref_200159,usr_3137,3430.97,UPI,Electronics,41.0,0.27,South
tx_ref_200160,usr_3149,5208.64,UPI,Electronics,47.9,0.14,East
tx_ref_200161,usr_4728,1209.66,Credit Card,Apparel,42.3,0.2,North
tx_ref_200162,usr_4095,1459.16,UPI,Electronics,41.5,0.27,North
tx_ref_200163,usr_1016,1493.57,Credit Card,Electronics,18.9,0.06,South
tx_ref_200164,usr_7213,1875.07,Debit Card,Apparel,37.4,0.26,North
tx_ref_200165,usr_3253,2989.7,Cash,Electronics,52.4,0.19,South
tx_ref_200166,usr_4773,676.99,Credit Card,Apparel,21.1,0.23,East
tx_ref_200167,usr_6218,1051.8,UPI,Electronics,36.6,0.29,West
tx_ref_200168,usr_2886,789.25,UPI,Electronics,43.6,0.15,East
tx_ref_200169,usr_5216,4426.19,Cash,Home & Kitchen,53.8,0.03,West
tx_ref_200170,usr_1484,267.11,Credit Card,Home & Kitchen,27.0,0.1,South
tx_ref_200171,usr_7406,4971.67,Credit Card,Electronics,29.6,0.17,East
tx_ref_200172,usr_3184,2754.33,UPI,Home & Kitchen,31.9,0.03,South
tx_ref_200173,usr_4033,611.24,Debit Card,Apparel,28.3,0.19,West
tx_ref_200174,usr_6076,1165.16,Credit Card,Home & Kitchen,27.0,0.21,West
tx_ref_200175,usr_2383,456.31,UPI,Home & Kitchen,,0.18,North
tx_ref_200176,usr_8705,900.24,Debit Card,Home & Kitchen,33.9,0.01,East
tx_ref_200177,usr_1613,603.3,UPI,Digital Goods,39.9,0.13,East
tx_ref_200178,usr_6810,1732.22,UPI,Home & Kitchen,46.1,0.09,South
tx_ref_200179,usr_5869,2367.58,UPI,Apparel,44.2,0.0,East
tx_ref_200180,usr_8880,254.61,Credit Card,Apparel,29.0,0.06,North
tx_ref_200181,usr_3574,1369.3,Cash,Digital Goods,33.9,0.27,West
tx_ref_200182,usr_8827,1362.58,UPI,Apparel,48.5,0.26,East
tx_ref_200183,usr_5675,725.89,UPI,Home & Kitchen,34.3,0.05,North
tx_ref_200184,usr_3969,6256.89,Debit Card,Apparel,22.1,0.29,West
tx_ref_200185,usr_5441,732.89,Credit Card,Electronics,41.9,0.17,West
tx_ref_200186,usr_7281,666.84,Debit Card,Electronics,38.9,0.16,West
tx_ref_200187,usr_6005,452.34,Credit Card,Electronics,24.2,0.02,North
tx_ref_200188,usr_8967,2731.73,Debit Card,Home & Kitchen,38.7,0.08,East
tx_ref_200189,usr_5870,123.91,Credit Card,Digital Goods,39.2,0.19,East
tx_ref_200190,usr_4133,5069.17,Credit Card,Apparel,46.9,0.12,North
tx_ref_200191,usr_6770,1916.6,UPI,Electronics,19.9,0.15,East
tx_ref_200192,usr_1143,1350.21,Credit Card,Electronics,41.6,0.06,South
tx_ref_200193,usr_7216,208.53,Cash,Apparel,32.2,0.24,East
tx_ref_200194,usr_2388,4335.26,Credit Card,Apparel,,0.21,West
tx_ref_200195,usr_1553,9129.19,UPI,Electronics,43.3,0.21,West
tx_ref_200196,usr_2836,3395.12,UPI,Home & Kitchen,53.9,0.08,East
tx_ref_200197,usr_8386,123.3,Credit Card,Apparel,49.7,0.24,West
tx_ref_200198,usr_2924,6796.82,Credit Card,Electronics,50.3,0.12,North
tx_ref_200199,usr_8146,3349.15,UPI,Digital Goods,27.6,0.24,North
tx_ref_200200,usr_1889,1341.55,Debit Card,Apparel,28.2,0.05,North
tx_ref_200201,usr_6952,1760.8,Cash,Apparel,33.3,0.17,West
tx_ref_200202,usr_7981,1456.29,UPI,Home & Kitchen,40.5,0.06,North
tx_ref_200203,usr_7895,810.24,Debit Card,Electronics,39.8,0.26,West
tx_ref_200204,usr_8965,7272.74,Debit Card,Apparel,36.8,0.17,South
tx_ref_200205,usr_8871,2547.43,Debit Card,Home & Kitchen,23.2,0.01,North
tx_ref_200206,usr_5248,5515.94,Credit Card,Apparel,29.5,0.27,East
tx_ref_200207,usr_2292,522.48,Cash,Apparel,24.9,0.0,East
tx_ref_200208,usr_2748,1717.76,Credit Card,Apparel,39.9,0.26,West
tx_ref_200209,usr_3453,1185.94,Debit Card,Electronics,25.8,0.04,West
tx_ref_200210,usr_3224,576.93,Cash,Digital Goods,32.0,0.05,North
tx_ref_200211,usr_8376,349.52,UPI,Apparel,28.2,0.17,South
tx_ref_200212,usr_2968,2998.24,UPI,Home & Kitchen,27.8,0.11,West
tx_ref_200213,usr_1051,3721.97,UPI,Electronics,37.2,0.05,North
tx_ref_200214,usr_3949,587.19,Credit Card,Electronics,20.7,0.12,East
tx_ref_200215,usr_8674,2301.01,Credit Card,Electronics,40.9,0.12,East
tx_ref_200216,usr_3945,533.17,Debit Card,Electronics,18.5,0.29,South
tx_ref_200217,usr_7149,1107.52,Credit Card,Apparel,35.5,0.2,North
tx_ref_200218,usr_6852,1016.97,Cash,Digital Goods,38.8,0.27,West
tx_ref_200219,usr_1622,285.5,UPI,Electronics,36.7,0.28,North
tx_ref_200220,usr_3916,220.2,Credit Card,Electronics,30.1,0.06,West
tx_ref_200221,usr_7955,2060.06,Credit Card,Apparel,48.4,0.3,South
tx_ref_200222,usr_2190,1321.82,Credit Card,Digital Goods,41.8,0.08,West
tx_ref_200223,usr_6967,7798.41,UPI,Apparel,39.5,0.02,West
tx_ref_200224,usr_6329,1817.78,UPI,Apparel,29.4,0.26,North
tx_ref_200225,usr_4494,3720.89,UPI,Home & Kitchen,39.9,0.12,West
tx_ref_200226,usr_1514,1479.74,Credit Card,Electronics,24.7,0.28,West
tx_ref_200227,usr_8647,779.76,UPI,Apparel,38.5,0.28,South
tx_ref_200228,usr_5920,455.92,Debit Card,Electronics,32.0,0.05,West
tx_ref_200229,usr_6631,322.48,UPI,Electronics,45.6,0.24,West
tx_ref_200230,usr_5946,3208.05,Credit Card,Home & Kitchen,32.8,0.02,South
tx_ref_200231,usr_7270,908.22,Credit Card,Electronics,21.6,0.1,South
tx_ref_200232,usr_6705,3564.65,Credit Card,Electronics,36.4,0.03,South
tx_ref_200233,usr_1549,4822.19,Credit Card,Apparel,32.2,0.28,West
tx_ref_200234,usr_1333,3566.22,Credit Card,Electronics,21.5,0.08,South
tx_ref_200235,usr_5154,1396.8,Cash,Electronics,55.8,0.3,South
tx_ref_200236,usr_7004,128.94,Credit Card,Electronics,33.6,0.02,South
tx_ref_200237,usr_1523,588.0,UPI,Apparel,25.6,0.03,North
tx_ref_200238,usr_1493,3609.7,Credit Card,Apparel,35.6,0.24,North
tx_ref_200239,usr_8260,1158.62,UPI,Home & Kitchen,46.0,0.17,East
tx_ref_200240,usr_1299,2120.12,Debit Card,Apparel,47.9,0.01,West
tx_ref_200241,usr_3762,556.8,Debit Card,Apparel,36.3,0.04,West
tx_ref_200242,usr_1289,1215.21,UPI,Electronics,38.6,0.19,West
tx_ref_200243,usr_6996,1248.03,Debit Card,Electronics,51.2,0.17,East
tx_ref_200244,usr_5381,2123.2,Credit Card,Apparel,33.7,0.01,East
tx_ref_200245,usr_3876,792.48,UPI,Electronics,30.5,0.11,West
tx_ref_200246,usr_3020,178.34,Credit Card,Digital Goods,27.2,0.07,West
tx_ref_200247,usr_7703,262.86,UPI,Digital Goods,30.7,0.14,East
tx_ref_200248,usr_5558,3624.97,Debit Card,Apparel,43.0,0.14,West
tx_ref_200249,usr_1882,466.06,Debit Card,Electronics,29.2,0.12,East
tx_ref_200250,usr_3419,1270.87,UPI,Apparel,33.5,0.29,North
tx_ref_200251,usr_2827,1931.75,UPI,Electronics,32.4,0.04,West
tx_ref_200252,usr_2077,1374.69,Debit Card,Apparel,35.7,0.29,East
tx_ref_200253,usr_2181,649.87,Credit Card,Apparel,29.0,0.11,North
tx_ref_200254,usr_3124,100.61,UPI,Electronics,43.6,0.18,West
tx_ref_200255,usr_2500,1809.17,UPI,Apparel,30.6,0.28,South
tx_ref_200256,usr_4635,823.04,Credit Card,Apparel,29.8,0.03,South
tx_ref_200257,usr_8763,2242.01,Credit Card,Electronics,27.6,0.08,West
tx_ref_200258,usr_6649,3152.58,UPI,Electronics,26.4,0.04,North
tx_ref_200259,usr_1982,313.26,Cash,Apparel,21.0,0.22,South
tx_ref_200260,usr_4715,4448.78,UPI,Home & Kitchen,23.0,0.29,West
tx_ref_200261,usr_6876,1280.6,UPI,Apparel,50.9,0.19,South
tx_ref_200262,usr_6814,1707.52,Cash,Home & Kitchen,30.4,0.28,South
tx_ref_200263,usr_8094,3863.99,Credit Card,Home & Kitchen,44.0,0.05,West
tx_ref_200264,usr_1242,742.38,Debit Card,Apparel,30.7,0.18,South
tx_ref_200265,usr_3482,1137.21,Credit Card,Home & Kitchen,44.8,0.28,North
tx_ref_200266,usr_1662,347.42,Cash,Electronics,53.6,0.07,East
tx_ref_200267,usr_5677,1892.27,UPI,Apparel,35.6,0.23,East
tx_ref_200268,usr_1064,1977.79,UPI,Electronics,46.7,0.26,South
tx_ref_200269,usr_3118,1762.58,Credit Card,Electronics,44.6,0.21,West
tx_ref_200270,usr_5955,1361.26,Credit Card,Home & Kitchen,43.5,0.2,West
tx_ref_200271,usr_4029,2491.59,Credit Card,Digital Goods,33.6,0.12,South
tx_ref_200272,usr_5528,1486.75,UPI,Home & Kitchen,36.0,0.28,South
tx_ref_200273,usr_2361,226.65,Credit Card,Electronics,28.2,0.12,East
tx_ref_200274,usr_3752,3784.77,UPI,Home & Kitchen,47.5,0.2,South
tx_ref_200275,usr_7705,1937.02,UPI,Home & Kitchen,38.7,0.05,South
tx_ref_200276,usr_3698,615.66,UPI,Electronics,22.0,0.06,North
tx_ref_200277,usr_3877,4428.42,UPI,Apparel,33.2,0.0,West
tx_ref_200278,usr_1056,867.32,UPI,Apparel,28.7,0.08,South
tx_ref_200279,usr_6738,689.94,Cash,Apparel,43.3,0.17,North
tx_ref_200280,usr_4434,947.28,UPI,Apparel,46.5,0.01,East
tx_ref_200281,usr_2484,554.4,Debit Card,Electronics,39.3,0.28,East
tx_ref_200282,usr_2323,1408.64,Debit Card,Home & Kitchen,51.2,0.01,East
tx_ref_200283,usr_1362,1158.96,UPI,Apparel,32.3,0.17,South
tx_ref_200284,usr_6657,3577.67,Debit Card,Apparel,39.7,0.27,East
tx_ref_200285,usr_2645,2411.34,Debit Card,Apparel,37.7,0.04,North
tx_ref_200286,usr_4620,7396.4,UPI,Electronics,35.4,0.17,South
tx_ref_200287,usr_3623,2458.75,Credit Card,Electronics,,0.08,North
tx_ref_200288,usr_3591,1692.19,UPI,Electronics,26.9,0.21,West
tx_ref_200289,usr_3471,1780.49,Debit Card,Digital Goods,45.5,0.08,East
tx_ref_200290,usr_2787,814.72,Credit Card,Electronics,27.7,0.29,North
tx_ref_200291,usr_4215,210.63,Credit Card,Home & Kitchen,36.2,0.14,North
tx_ref_200292,usr_1039,1457.04,Debit Card,Home & Kitchen,31.6,0.1,South
tx_ref_200293,usr_2722,867.42,Cash,Home & Kitchen,40.7,0.12,North
tx_ref_200294,usr_6585,554.01,Credit Card,Apparel,28.6,0.01,West
tx_ref_200295,usr_1168,3988.09,Credit Card,Apparel,37.1,0.02,West
tx_ref_200296,usr_1365,1470.7,UPI,Electronics,37.7,0.23,South
tx_ref_200297,usr_7327,1640.01,UPI,Digital Goods,53.5,0.22,South
tx_ref_200298,usr_7447,2824.14,Debit Card,Apparel,31.4,0.29,East
tx_ref_200299,usr_3327,1552.35,Credit Card,Apparel,35.4,0.14,West
tx_ref_200300,usr_5393,3817.17,Credit Card,Apparel,47.6,0.2,South
tx_ref_200301,usr_1269,1224.5,Credit Card,Digital Goods,41.6,0.1,North
tx_ref_200302,usr_7322,5249.19,UPI,Apparel,51.9,0.24,North
tx_ref_200303,usr_2982,4922.4,Credit Card,Home & Kitchen,26.9,0.23,East
tx_ref_200304,usr_4409,108.51,UPI,Electronics,36.2,0.05,West
tx_ref_200305,usr_3594,2598.82,Debit Card,Electronics,34.5,0.19,North
tx_ref_200306,usr_6130,1090.42,Credit Card,Home & Kitchen,53.6,0.13,South
tx_ref_200307,usr_2604,236.89,UPI,Home & Kitchen,40.8,0.26,North
tx_ref_200308,usr_4218,4005.44,Debit Card,Apparel,38.1,0.05,East
tx_ref_200309,usr_7608,6850.24,Credit Card,Apparel,28.9,0.01,South
tx_ref_200310,usr_2421,831.8,UPI,Apparel,40.9,0.18,East
tx_ref_200311,usr_5813,3834.72,Credit Card,Digital Goods,43.2,0.25,West
tx_ref_200312,usr_2043,3399.94,Debit Card,Electronics,41.6,0.29,South
tx_ref_200313,usr_4370,6819.95,UPI,Home & Kitchen,29.7,0.07,South
tx_ref_200314,usr_4092,269.5,Credit Card,Home & Kitchen,35.7,0.13,South
tx_ref_200315,usr_4769,2210.86,UPI,Home & Kitchen,34.6,0.18,East
tx_ref_200316,usr_3147,2097.8,Debit Card,Electronics,22.1,0.25,North
tx_ref_200317,usr_5965,1097.33,UPI,Electronics,35.1,0.19,South
tx_ref_200318,usr_8958,1340.76,Debit Card,Electronics,31.9,0.05,East
tx_ref_200319,usr_6158,1269.76,UPI,Electronics,38.5,0.17,West
tx_ref_200320,usr_7547,1925.69,Credit Card,Electronics,40.2,0.16,West
tx_ref_200321,usr_2414,1703.24,UPI,Electronics,43.6,0.19,South
tx_ref_200322,usr_5476,1232.73,Credit Card,Digital Goods,20.0,0.06,East
tx_ref_200323,usr_1900,1926.26,UPI,Digital Goods,51.7,0.13,West
tx_ref_200324,usr_2360,135.23,Cash,Digital Goods,42.7,0.02,West
tx_ref_200325,usr_2963,2801.16,UPI,Home & Kitchen,29.8,0.18,North
tx_ref_200326,usr_4246,102.85,UPI,Home & Kitchen,34.2,0.18,South
tx_ref_200327,usr_7721,1577.9,Debit Card,Electronics,38.5,0.01,North
tx_ref_200328,usr_7954,137.58,Cash,Electronics,31.7,0.08,South
tx_ref_200329,usr_5120,2237.89,UPI,Electronics,36.0,0.06,West
tx_ref_200330,usr_4714,1851.35,Credit Card,Apparel,27.2,0.08,East
tx_ref_200331,usr_4143,2515.3,UPI,Apparel,38.9,0.0,South
tx_ref_200332,usr_6268,2881.75,UPI,Electronics,46.3,0.01,West
tx_ref_200333,usr_3667,750.48,UPI,Electronics,47.8,0.03,South
tx_ref_200334,usr_6539,250.85,Credit Card,Apparel,23.3,0.06,North
tx_ref_200335,usr_7567,5712.68,Debit Card,Digital Goods,32.5,0.11,North
tx_ref_200336,usr_6178,462.32,Cash,Home & Kitchen,34.0,0.17,North
tx_ref_200337,usr_8110,578.97,Credit Card,Apparel,44.3,0.13,West
tx_ref_200338,usr_1421,79.88,UPI,Apparel,52.9,0.19,East
tx_ref_200339,usr_7237,207.74,Debit Card,Electronics,27.3,0.23,West
tx_ref_200340,usr_7204,3030.8,UPI,Home & Kitchen,38.3,0.02,East
tx_ref_200341,usr_2952,359.3,Credit Card,Home & Kitchen,30.1,0.02,West
